state,year,emissions_per_cap
pennsylvania,1984,22.2
rhode island,1984,8.8
south carolina,1984,16.2
south dakota,1984,15.5
tennessee,1984,21.1
texas,1984,31.7
utah,1984,22.1
vermont,1984,9.4
virginia,1984,14.7
washington,1984,13.1
west virginia,1984,54.7
wisconsin,1984,17.1
wyoming,1984,91.8
alabama,1985,25.6
alaska,1985,54.5
arizona,1985,19.2
arkansas,1985,21.1
california,1985,12.1
colorado,1985,19.2
connecticut,1985,11.8
delaware,1985,28.1
district of columbia,1985,7.5
florida,1985,13.4
georgia,1985,22.9
hawaii,1985,16.4
idaho,1985,10.0
illinois,1985,17.4
indiana,1985,33.5
iowa,1985,20.4
kansas,1985,28.0
kentucky,1985,29.2
louisiana,1985,37.4
maine,1985,12.7
maryland,1985,14.7
massachusetts,1985,13.5
michigan,1985,18.4
minnesota,1985,15.9
mississippi,1985,16.9
missouri,1985,20.1
montana,1985,26.9
nebraska,1985,19.3
nevada,1985,24.7
new hampshire,1985,13.3
new jersey,1985,14.8
new mexico,1985,32.4
new york,1985,10.6
north carolina,1985,17.1
north dakota,1985,56.5
ohio,1985,22.5
oklahoma,1985,25.7
oregon,1985,10.1
pennsylvania,1985,21.3
rhode island,1985,8.7
south carolina,1985,16.4
south dakota,1985,15.8
tennessee,1985,21.9
texas,1985,31.5
utah,1985,22.4
vermont,1985,9.8
virginia,1985,14.4
washington,1985,13.5
west virginia,1985,53.6
wisconsin,1985,17.0
wyoming,1985,101.0
alabama,1986,25.5
alaska,1986,57.7
arizona,1986,17.0
arkansas,1986,21.4
california,1986,11.3
colorado,1986,18.8
connecticut,1986,12.3
delaware,1986,27.3
district of columbia,1986,8.2
florida,1986,14.0
georgia,1986,21.6
hawaii,1986,15.8
idaho,1986,9.9
illinois,1986,17.2
indiana,1986,32.7
iowa,1986,20.3
kansas,1986,26.8
kentucky,1986,30.1
louisiana,1986,39.5
maine,1986,15.9
maryland,1986,14.8
massachusetts,1986,14.4
michigan,1986,18.7
minnesota,1986,15.3
mississippi,1986,17.3
missouri,1986,19.7
montana,1986,28.9
nebraska,1986,18.4
nevada,1986,27.6
new hampshire,1986,13.6
new jersey,1986,15.0
new mexico,1986,29.5
new york,1986,10.7
north carolina,1986,17.8
north dakota,1986,58.2
ohio,1986,22.9
oklahoma,1986,23.9
oregon,1986,9.8
pennsylvania,1986,20.9
rhode island,1986,9.7
south carolina,1986,16.3
south dakota,1986,15.3
tennessee,1986,22.1
texas,1986,30.7
utah,1986,21.6
vermont,1986,9.5
virginia,1986,15.0
washington,1986,13.6
west virginia,1986,54.0
wisconsin,1986,16.9
wyoming,1986,87.0
alabama,1987,25.8
alaska,1987,55.2
arizona,1987,16.4
arkansas,1987,20.1
california,1987,12.1
colorado,1987,18.8
connecticut,1987,12.2
delaware,1987,28.1
district of columbia,1987,7.8
florida,1987,14.5
georgia,1987,22.0
hawaii,1987,15.7
idaho,1987,10.2
illinois,1987,16.9
indiana,1987,33.7
iowa,1987,21.1
kansas,1987,28.0
kentucky,1987,30.6
louisiana,1987,40.5
maine,1987,14.7
maryland,1987,15.6
massachusetts,1987,14.4
michigan,1987,18.9
minnesota,1987,16.2
mississippi,1987,17.9
missouri,1987,20.1
montana,1987,29.3
nebraska,1987,19.2
nevada,1987,26.8
new hampshire,1987,14.4
new jersey,1987,15.5
new mexico,1987,31.3
new york,1987,11.3
north carolina,1987,16.8
north dakota,1987,59.8
ohio,1987,23.0
oklahoma,1987,25.7
oregon,1987,10.2
pennsylvania,1987,21.8
rhode island,1987,9.9
south carolina,1987,17.2
south dakota,1987,13.5
tennessee,1987,21.7
texas,1987,31.0
utah,1987,26.5
vermont,1987,10.1
virginia,1987,15.8
washington,1987,14.7
west virginia,1987,54.9
wisconsin,1987,17.1
wyoming,1987,111.7
alabama,1988,26.1
alaska,1988,55.8
arizona,1988,16.9
arkansas,1988,21.8
california,1988,12.1
colorado,1988,19.5
connecticut,1988,12.9
delaware,1988,28.6
district of columbia,1988,7.8
florida,1988,14.9
georgia,1988,22.0
hawaii,1988,18.2
idaho,1988,10.7
illinois,1988,17.3
indiana,1988,35.5
iowa,1988,22.6
kansas,1988,28.7
kentucky,1988,33.4
louisiana,1988,42.7
maine,1988,17.0
maryland,1988,15.9
massachusetts,1988,14.3
michigan,1988,19.6
minnesota,1988,17.9
mississippi,1988,19.1
missouri,1988,20.7
montana,1988,35.8
nebraska,1988,21.7
nevada,1988,29.2
new hampshire,1988,14.5
new jersey,1988,15.2
new mexico,1988,32.3
new york,1988,11.6
north carolina,1988,17.3
north dakota,1988,67.9
ohio,1988,23.8
oklahoma,1988,27.1
oregon,1988,10.8
pennsylvania,1988,22.7
rhode island,1988,10.4
south carolina,1988,18.0
south dakota,1988,16.4
tennessee,1988,22.1
texas,1988,32.8
utah,1988,30.6
vermont,1988,10.4
virginia,1988,16.1
washington,1988,15.2
west virginia,1988,58.4
wisconsin,1988,17.9
wyoming,1988,119.4
alabama,1989,27.3
alaska,1989,60.9
arizona,1989,18.1
arkansas,1989,21.9
california,1989,12.3
colorado,1989,19.8
connecticut,1989,13.3
delaware,1989,27.0
district of columbia,1989,8.1
florida,1989,14.9
georgia,1989,20.9
hawaii,1989,18.7
idaho,1989,11.2
illinois,1989,17.0
indiana,1989,36.1
iowa,1989,22.6
kansas,1989,27.8
kentucky,1989,32.4
louisiana,1989,44.1
maine,1989,15.7
maryland,1989,16.4
massachusetts,1989,14.8
michigan,1989,19.2
minnesota,1989,18.4
mississippi,1989,17.9
missouri,1989,20.7
montana,1989,36.3
nebraska,1989,20.6
nevada,1989,27.6
new hampshire,1989,14.4
new jersey,1989,15.7
new mexico,1989,33.5
new york,1989,11.9
north carolina,1989,17.6
north dakota,1989,68.4
ohio,1989,23.8
oklahoma,1989,27.7
oregon,1989,11.0
pennsylvania,1989,22.9
rhode island,1989,9.2
south carolina,1989,17.6
south dakota,1989,16.8
tennessee,1989,21.2
texas,1989,33.7
utah,1989,30.6
vermont,1989,10.1
virginia,1989,16.4
washington,1989,15.3
west virginia,1989,60.6
wisconsin,1989,17.9
wyoming,1989,117.1
alabama,1990,27.1
alaska,1990,61.4
arizona,1990,17.1
arkansas,1990,21.5
california,1990,12.0
colorado,1990,20.1
connecticut,1990,12.3
delaware,1990,26.9
district of columbia,1990,7.3
florida,1990,14.4
georgia,1990,21.3
hawaii,1990,19.2
idaho,1990,11.2
illinois,1990,16.8
indiana,1990,37.1
iowa,1990,22.8
kansas,1990,27.7
kentucky,1990,32.6
louisiana,1990,45.4
maine,1990,15.3
maryland,1990,14.7
massachusetts,1990,13.8
michigan,1990,19.3
minnesota,1990,18.0
mississippi,1990,18.8
missouri,1990,20.1
montana,1990,34.9
nebraska,1990,20.8
nevada,1990,25.2
new hampshire,1990,13.1
new jersey,1990,14.2
new mexico,1990,34.7
new york,1990,11.5
north carolina,1990,16.7
north dakota,1990,70.4
ohio,1990,22.7
oklahoma,1990,27.9
oregon,1990,10.8
pennsylvania,1990,22.2
rhode island,1990,8.8
south carolina,1990,17.4
south dakota,1990,16.9
tennessee,1990,21.5
texas,1990,33.4
utah,1990,31.5
vermont,1990,9.7
virginia,1990,15.3
washington,1990,14.6
west virginia,1990,57.7
wisconsin,1990,17.5
